Linux 6.8.0-generic (host01) 	09/08/26 	_x86_64_	(32 CPU)

03:28:30      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
Average:     1000    575072      3.64      0.00 1518408524  125328   0.19  code
Average:     1000    581682      4.64      0.00 1518408208  135540   0.21  code
Average:     1000    581703    607.28      0.00 1518780868  638540   0.99  code
Average:     1000   1795075      0.33      0.00 5576820  174408   0.27  claude
Average:     1000   1795106      0.66      0.00 5647660  409804   0.64  2.1.263
Average:     1000   1795298      1.99      0.00 5644632  637432   0.99  claude
Average:        0   2138672      2.65      0.00 1233848   11708   0.02  containerd-shim
Average:        0   2138834      2.65      0.00 1233848   10956   0.02  containerd-shim
Average:     1000   2164566     31.13      0.00    5932    3880   0.01  bash
Average:     1000   2240302      0.99      0.00 1522232232  344116   0.53  code
Average:     1000   2774396      0.33      0.00 1520871988  276180   0.43  chrome
Average:     1000   2782046      0.33      0.00 55051572   92364   0.14  chrome
Average:     1000   2797150   2468.87      0.00 1520923392  221641   0.34  chrome
Average:     1000   2797616     20.86      0.00 5605584  397557   0.62  claude
Average:     1000   2923917     83.44      0.00 1520593476  125516   0.19  chrome
Average:     1000   2923929      1.32      0.00 1518607868   80684   0.13  chrome
Average:     1000   2923957     44.70      0.00    9225    8032   0.01  pidstat
Average:     1000   2923959  91662.58      0.00 1520806644  281067   0.44  chrome
Average:     1000   2924027    151.32      0.00   16116    7392   0.01  sleep
Average:     1000   2924029    150.99      0.00   16116    7396   0.01  sleep
Average:     1000   3294734      1.66      0.00 1518846256  321628   0.50  code
Average:     1000   3708952   7404.30      0.00 56473664  900491   1.40  chrome
Average:     1000   3708977     13.58      0.00 55229972   19216   0.03  chrome
Average:     1000   3709029     18.21      0.00 55697560  215544   0.33  chrome
Average:     1000   3709031     55.30      0.00 55065604  149273   0.23  chrome
Average:     1000   3709046      1.99      0.00 55313684   64284   0.10  chrome
